File name,Year,Data frequency,Number of rows,Missing values,Duplicate rows,Date range
Nifty Spot.xlsx,2021-2026,1 Minute,495999,0,0,2021-01-01 01:00:00 to 2026-05-15 10:37:00
nifty_options_clean (1).csv,2022-2025,Tick/Intraday,1048575,0,0,2022-01-03 00:00:00 to 2025-01-09 00:00:00
